,,unit
Factor of production,Operating surplus: Rents on land,EUR
Factor of production,Operating surplus: Royalties on resources,EUR
Factor of production,Operating surplus: Remaining net operating surplus,EUR
Satellite account,None,None
Satellite account,As - combustion - air,kg
Satellite account,As - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,As - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,As - non combustion - Glass production - air,kg
Satellite account,As - non combustion - Production of coke oven coke - air,kg
Satellite account,As - non combustion - Production of gascoke - air,kg
Satellite account,As - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,As - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,As - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,B(a)P - non combustion - Primary aluminium production - air,kg
Satellite account,B(a)P - non combustion - Production of coke oven coke - air,kg
Satellite account,B(a)P - non combustion - Production of gascoke - air,kg
Satellite account,B(b)F - non combustion - Primary aluminium production - air,kg
Satellite account,B(b)F - non combustion - Production of coke oven coke - air,kg
Satellite account,B(b)F - non combustion - Production of gascoke - air,kg
Satellite account,B(k)F - non combustion - Primary aluminium production - air,kg
Satellite account,B(k)F - non combustion - Production of coke oven coke - air,kg
Satellite account,B(k)F - non combustion - Production of gascoke - air,kg
Satellite account,Benzo(a)pyrene - combustion - air,kg
Satellite account,Benzo(b)fluoranthene - combustion - air,kg
Satellite account,Benzo(k)fluoranthene - combustion - air,kg
Satellite account,CH4 - agriculture - air,kg
Satellite account,CH4 - combustion - air,kg
Satellite account,CH4 - non combustion - Extraction/production of (natural) gas - air,kg
Satellite account,CH4 - non combustion - Extraction/production of crude oil - air,kg
Satellite account,CH4 - non combustion - Mining of antracite - air,kg
Satellite account,CH4 - non combustion - Mining of bituminous coal - air,kg
Satellite account,CH4 - non combustion - Mining of coking coal - air,kg
Satellite account,CH4 - non combustion - Mining of lignite (brown coal) - air,kg
Satellite account,CH4 - non combustion - Mining of sub-bituminous coal - air,kg
Satellite account,CH4 - non combustion - Oil refinery - air,kg
Satellite account,CH4 - waste - air,kg
Satellite account,CO - combustion - air,kg
Satellite account,CO - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,CO - non combustion - Bricks production - air,kg
Satellite account,CO - non combustion - Carbon black production - air,kg
Satellite account,CO - non combustion - Cement production - air,kg
Satellite account,"CO - non combustion - Chemical wood pulp, dissolving grades - air",kg
Satellite account,"CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg
Satellite account,"CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg
Satellite account,CO - non combustion - Glass production - air,kg
Satellite account,CO - non combustion - Lime production - air,kg
Satellite account,CO - non combustion - Oil refinery - air,kg
Satellite account,"CO - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,CO - non combustion - Primary aluminium production - air,kg
Satellite account,CO - non combustion - Production of coke oven coke - air,kg
Satellite account,CO - non combustion - Production of gascoke - air,kg
Satellite account,"CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg
Satellite account,CO - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,CO - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,CO - waste - air,kg
Satellite account,CO2 - agriculture - peat decay - air,kg
Satellite account,CO2 - combustion - air,kg
Satellite account,CO2 - non combustion - Cement production - air,kg
Satellite account,CO2 - non combustion - Lime production - air,kg
Satellite account,CO2 - waste - biogenic - air,kg
Satellite account,CO2 - waste - fossil - air,kg
Satellite account,Cd - combustion - air,kg
Satellite account,Cd - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Cd - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Cd - non combustion - Glass production - air,kg
Satellite account,"Cd - non combustion - Nickel, unwrought - air",kg
Satellite account,Cd - non combustion - Production of coke oven coke - air,kg
Satellite account,Cd - non combustion - Production of gascoke - air,kg
Satellite account,"Cd - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"Cd - non combustion - Refined lead, unwrought - air",kg
Satellite account,Cd - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Cd - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Cd - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,"Cd - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,Cr - combustion - air,kg
Satellite account,Cr - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Cr - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Cr - non combustion - Glass production - air,kg
Satellite account,"Cr - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,Cr - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Cr - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Cr - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,Cropland - Cereal grains nec,km2
Satellite account,Cropland - Crops nec,km2
Satellite account,Cropland - Fodder crops-Cattle,km2
Satellite account,Cropland - Fodder crops-Meat animals nec,km2
Satellite account,Cropland - Fodder crops-Pigs,km2
Satellite account,Cropland - Fodder crops-Poultry,km2
Satellite account,Cropland - Fodder crops-Raw milk,km2
Satellite account,Cropland - Oil seeds,km2
Satellite account,Cropland - Paddy rice,km2
Satellite account,Cropland - Plant-based fibers,km2
Satellite account,"Cropland - Sugar cane, sugar beet",km2
Satellite account,"Cropland - Vegetables, fruit, nuts",km2
Satellite account,Cropland - Wheat,km2
Satellite account,Cu - combustion - air,kg
Satellite account,Cu - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Cu - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Cu - non combustion - Glass production - air,kg
Satellite account,"Cu - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,Cu - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Cu - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Cu - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,Domestic Extraction Used - Crop residues - Feed,kt
Satellite account,Domestic Extraction Used - Crop residues - Straw,kt
Satellite account,Domestic Extraction Used - Fishery - Aquatic plants,kt
Satellite account,Domestic Extraction Used - Fishery - Inland waters fish catch,kt
Satellite account,Domestic Extraction Used - Fishery - Marine fish catch,kt
Satellite account,Domestic Extraction Used - Fishery - Other (e.g. Aquatic mammals),kt
Satellite account,Domestic Extraction Used - Fodder crops - Alfalfa for Forage and Silage,kt
Satellite account,Domestic Extraction Used - Fodder crops - Beets for Fodder,kt
Satellite account,Domestic Extraction Used - Fodder crops - Cabbage for Fodder,kt
Satellite account,Domestic Extraction Used - Fodder crops - Carrots for Fodder,kt
Satellite account,Domestic Extraction Used - Fodder crops - Clover for Forage and Silage,kt
Satellite account,Domestic Extraction Used - Fodder crops - Forage Products nec,kt
Satellite account,Domestic Extraction Used - Fodder crops - Grasses nec for Forage and Silage,kt
Satellite account,Domestic Extraction Used - Fodder crops - Green Oilseeds for Fodder,kt
Satellite account,Domestic Extraction Used - Fodder crops - Leguminous nec for forage and Silage,kt
Satellite account,Domestic Extraction Used - Fodder crops - Maize for Forage and Silage,kt
Satellite account,Domestic Extraction Used - Fodder crops - Other grasses,kt
Satellite account,"Domestic Extraction Used - Fodder crops - Rye Grass, Forage and Silage",kt
Satellite account,Domestic Extraction Used - Fodder crops - Sorghum for Forage and Silage,kt
Satellite account,Domestic Extraction Used - Fodder crops - Swedes for Fodder,kt
Satellite account,Domestic Extraction Used - Fodder crops - Turnips for Fodder,kt
Satellite account,"Domestic Extraction Used - Fodder crops - Vegetables and Roots, Fodder",kt
Satellite account,Domestic Extraction Used - Forestry - Coniferous wood - Industrial roundwood,kt
Satellite account,Domestic Extraction Used - Forestry - Coniferous wood - Wood fuel,kt
Satellite account,Domestic Extraction Used - Forestry - Kapok Fruit,kt
Satellite account,Domestic Extraction Used - Forestry - Natural Gums,kt
Satellite account,Domestic Extraction Used - Forestry - Non-coniferous wood - Industrial roundwood,kt
Satellite account,Domestic Extraction Used - Forestry - Non-coniferous wood - Wood fuel,kt
Satellite account,Domestic Extraction Used - Forestry - Raw materials other than wood,kt
Satellite account,Domestic Extraction Used - Fossil Fuel: Total,kt
Satellite account,Domestic Extraction Used - Grazing,kt
Satellite account,Domestic Extraction Used - Metal Ores - Bauxite and aluminium ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Copper ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Gold ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Iron ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Lead ores,kt
