,,unit
Satellite account,Water Withdrawal Blue - Manufacturing - Products of meat poultry,Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - Pulp,Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Radio, television and communication equipment and apparatus (32)",Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - Rubber and plastic products (25),Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",Mm3
Satellite account,"Water Withdrawal Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel",Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - Sugar,Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - Textiles (17),Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - Tobacco products (16),Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - Wearing apparel; furs (18),Mm3
Satellite account,Water Withdrawal Blue - Manufacturing - products of Vegetable oils and fats,Mm3
Satellite account,Zn - combustion - air,kg
Satellite account,Zn - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Zn - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Zn - non combustion - Glass production - air,kg
Satellite account,"Zn - non combustion - Nickel, unwrought - air",kg
Satellite account,"Zn - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,"Zn - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"Zn - non combustion - Refined lead, unwrought - air",kg
Satellite account,Zn - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Zn - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Zn - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,"Zn - non combustion - Zinc, unwrought, not alloyed - air",kg
