Region,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO - non combustion - Steel production: basic oxygen furnace - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO - non combustion - Steel production: electric arc furnace - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO - waste - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 - agriculture - peat decay - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 - combustion - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 - non combustion - Cement production - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 - non combustion - Lime production - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 - waste - biogenic - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 - waste - fossil - air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
