Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
China,Sector,Incineration of waste: Metals and Inert materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.052279026793638,0.0,0.0,562199.9640165963,2189057.299231838,2278.4572087489937,3735.296614252442,0.0,0.0,0.0,370331.2320580732,2074127.4165922205,9974.046797737368,0.0,0.0,0.0,0.0,0.0,166482.48466922028,0.0,0.0
China,Sector,Incineration of waste: Oil/Hazardous waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.96991607088864,0.0,0.0,274380.19831853395,1359578.835586261,833.1174150269525,2236.584529724913,0.0,0.0,0.0,270268.39939134277,1084545.862022515,2213.9733602471297,0.0,0.0,0.0,0.0,0.0,90576.45475746553,0.0,0.0
China,Sector,Incineration of waste: Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0116416213249,0.0,0.0,225248.64661230537,1191997.5138297263,7692.300821017384,3232.142258927167,0.0,0.0,0.0,546541.5983277628,1400935.30135557,9145.99672003321,0.0,0.0,0.0,0.0,0.0,288596.1869907637,0.0,0.0
China,Sector,Incineration of waste: Plastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.97818753563266,0.0,0.0,45617.98389411267,237879.59819033582,4082.3072027116546,3261.9956751931677,0.0,0.0,0.0,13735.190189586583,69664.42840899696,519.9009820215493,0.0,0.0,0.0,0.0,0.0,21059.03188348978,0.0,0.0
China,Sector,Incineration of waste: Textiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.34013430304239,0.0,0.0,22914.88525491598,94078.03303043796,3636.081599458545,4122.967925390958,0.0,0.0,0.0,13701.689240822545,58010.77218085722,1399.4011365831782,0.0,0.0,0.0,0.0,0.0,129294.93316444116,0.0,0.0
China,Sector,Incineration of waste: Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.52745628274424,0.0,0.0,65714.39893355087,329398.5871576728,2003.2420646219946,4554.92238163495,0.0,0.0,0.0,12868.057981726453,553961.3697163754,1217.212096805526,0.0,0.0,0.0,0.0,0.0,100128.70692238917,0.0,0.0
China,Sector,Inland water transport,9549835.896272153,0.0,0.0,4805564.082357845,393933338.9075221,4285975.299902725,54396695.8675592,644.2478542023966,0.0,0.0,1319.629495085646,1378104.8770672888,330.0496327421297,4797.508518456782,5106.554107749302,0.0,0.0,1345.8091079926812,1072747.623407683,2143.8709873230528,21269.35852743325,1407.0937583487225,0.0,0.0,0.0,281381.2959004911,0.0,1228.1049551019948
China,Sector,"Insurance and pension funding, except compulsory social security (66)",0.0,0.0,0.0,0.0,100386620827.96613,542510951.2540817,0.0,277.1534019825334,0.0,0.0,9247.02488616975,340163536.03554076,0.0,1674.447514406049,1242.5988245589747,0.0,0.0,629832.6722560815,318823855.33499974,2736729.916040622,7042.666398319838,0.0,0.0,0.0,0.0,52343625.824708015,0.0,0.0
China,Sector,Landfill of waste: Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.6357764250009,0.0,0.0,312429.24234709295,1109111.3902548666,1086.7399076664296,4800.625227508967,0.0,0.0,0.0,177675.30378070354,1018734.2888456836,19799.034273044825,0.0,0.0,0.0,0.0,0.0,5767.403674502186,0.0,0.0
China,Sector,Landfill of waste: Inert/metal/hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.48663478334657,0.0,0.0,221708.98215878513,1356805.6163461253,1155.842455996752,1596.968845662988,0.0,0.0,0.0,213373.47485021458,1367625.7394906739,26086.237985497984,0.0,0.0,0.0,0.0,0.0,169364.03071173566,0.0,0.0
